transaction_id,customer_id,customer_name,customer_email,customer_tier,amount,currency,payment_status,failure_reason,payment_method,previous_success_count,previous_failure_count,checkout_status,subscription_status,days_overdue,retry_count,customer_value,transaction_timestamp,risk_score,recovery_probability,recovery_eligible,optimal_action,actual_recoverable
TX1001,CUST0406,Shweta Bansal,shweta.bansal43@example.com,Standard,2499.52,INR,FAILED,authentication_failed,Net Banking,2,0,COMPLETED,NONE,1,0,22237.11,2026-07-29 03:07:32,16,0.725,YES,SEND_PAYMENT_REMINDER,1
TX1002,CUST0185,Rohan Mehta,rohan.mehta18@example.com,Enterprise,2499.67,INR,ABANDONED,checkout_dropoff,UPI,39,1,PAYMENT_PAGE_DROPOFF,NONE,0,0,382567.66,2026-08-11 06:49:30,12,0.7812,YES,SEND_CHECKOUT_REMINDER,1
TX1003,CUST0129,Amit Gupta,amit.gupta80@example.com,Enterprise,14999.56,INR,FAILED,network_timeout,Credit Card,19,2,COMPLETED,NONE,4,1,108413.7,2026-08-11 01:43:03,26,0.99,YES,RETRY_PAYMENT,1
TX1004,CUST0124,Siddharth Bansal,siddharth.bansal40@example.com,VIP,24999.98,INR,SUCCESS,none,UPI,33,1,COMPLETED,NONE,0,0,97890.46,2026-08-16 16:27:22,20,0.99,NO,NO_ACTION,0
TX1005,CUST0117,Suresh Bansal,suresh.bansal30@example.com,VIP,4999.76,INR,SUCCESS,none,UPI,13,0,COMPLETED,ACTIVE_RENEWAL_DUE,0,0,80568.26,2026-08-01 01:45:56,16,0.99,NO,NO_ACTION,0
TX1006,CUST0296,Priya Agarwal,priya.agarwal24@example.com,Standard,2499.37,INR,ABANDONED,checkout_dropoff,UPI,8,0,OTP_DROPOFF,NONE,0,0,36723.84,2026-08-23 04:30:07,24,0.705,YES,SEND_CHECKOUT_REMINDER,1
TX1007,CUST0279,Vikram Verma,vikram.verma40@example.com,New,2499.52,INR,ABANDONED,checkout_dropoff,UPI,1,1,ABANDONED_CART,NONE,0,0,1022.54,2026-08-25 11:01:44,28,0.63,YES,SEND_CHECKOUT_REMINDER,0
TX1008,CUST0253,Pooja Choudhury,pooja.choudhury93@example.com,New,2499.53,INR,FAILED,issuer_down,Credit Card,0,2,COMPLETED,ACTIVE_RENEWAL_DUE,8,0,1148.7,2026-08-17 05:55:36,22,0.615,YES,RETRY_SUBSCRIPTION,0
TX1009,CUST0158,Shweta Nair,shweta.nair62@example.com,Standard,3499.76,INR,FAILED,insufficient_funds,UPI,7,4,COMPLETED,ACTIVE_RENEWAL_DUE,4,0,40365.39,2026-08-15 11:31:17,33,0.5205,YES,RETRY_SUBSCRIPTION,1
TX1010,CUST0445,Aarav Iyer,aarav.iyer25@example.com,Standard,4999.04,INR,FAILED,account_closed,Debit Card,13,1,COMPLETED,NONE,3,1,7484.97,2026-07-28 03:13:34,65,0.0843,NO,STOP_RECOVERY,0
TX1011,CUST0395,Alok Saxena,alok.saxena91@example.com,Standard,4999.81,INR,FAILED,processor_error,UPI,5,4,COMPLETED,NONE,2,3,21663.47,2026-08-13 14:40:47,59,0.3183,NO,CREATE_ESCALATION,0
TX1012,CUST0403,Ritu Kapoor,ritu.kapoor69@example.com,Enterprise,39999.67,INR,FAILED,velocity_limit_exceeded,Net Banking,25,3,COMPLETED,NONE,0,3,498387.76,2026-08-23 00:30:54,99,0.01,NO,CREATE_ESCALATION,0
